"description","dataelement_formname","dataelement_uid",
,"10.1.1 1. Are the health facility and surroundings kept clean to prevent health care associated infections?","M5cRimC7Gw4",
"Inspect to observe whether grass has been cut,-free of litter and/or pests","10.1.1 1.Are the health facility and surroundings kept cleanto prevent health care associated infections?","PM34h6t1Wuu",
"Inspect to observe whether grass has been cut, free of litter and/or pests","10.1.1 1.Are the health facility and surroundings kept cleanto prevent health care associated infections?","tyCaXg2zVV8",
"Inspect to observe whether grass has been cut,-free of litter and/or pests","10.1.1 1.Are the health facility and surroundings kept cleanto prevent health care associated infections?","PM34h6t1Wuu",
,"10.1.1 2. Are there sufficient lined dustbins for general waste in outdoor areas to avoid littering?","XT01TWFRkez",
,"10.1.1 2. Are there sufficient lined dustbinsfor general waste in outdoor areas to avoid littering?","HplNLEpSy6a",
"Verify availability of the following:","10.1.1 2. Are there sufficient lined dustbinsfor general waste in outdoor areas to avoid littering?","aAoBUOGHtwW",
"Verify availability of the following:","10.1.1 2. Are there sufficient lined dustbinsfor general waste in outdoor areas to avoid littering?","aAoBUOGHtwW",
"Verify availability of the following:Antiseptics a) Ethyl or isopropyl alcohol (60-90%) OR iodine preparations (0.5-3%), e.g., Lugol-s, OR iodophors (usually not diluted), e.g., Betadine- (only applicable to labour ward b) Cetrimide and chlorhexidine gluconate (2-4%), e.g., Savlon-, OR chlorhexidine gluconate (2-4%), e.g., Hibiclens-, Hibiscrub-, Hibitane-, Disinfectant Chlorine solution  Yes","10.1.2 1. Are antiseptics and disinfectants are available in functional areas according to National IPC Guidelines?","UbBVlflW94O",
"Antiseptics","10.1.2 1. Are antiseptics and disinfectants are available in functional areas according to National IPC Guidelines?","Xj48GxuWCRM",
"Verify availability of the following:Antiseptics a) Ethyl or isopropyl alcohol (60–90%) OR iodine preparations (0.5–3%), e.g.,Lugols, OR iodophors (usually not diluted), e.g., Betadine (only applicable to labour ward b) Cetrimide and chlorhexidine gluconate (2–4%), e.g., Savlon, OR chlorhexidine gluconate (2–4%), e.g., Hibiclens, Hibiscrub, Hibitane, Disinfectant Chlorine solution","10.1.2 1. Are antiseptics and disinfectants are available in functional areas according to National IPC Guidelines?","t4N3AuoCVO9",
"Antiseptics","10.1.2 1. Are antiseptics and disinfectants are available in functional areas according to National IPC Guidelines?","Xj48GxuWCRM",
"b) Cetrimide and chlorhexidine gluconate-(2-4%), e.g., Savlon-, OR chlorhexidine-gluconate (2-4%), e.g., Hibiclens-,-Hibiscrub-, Hibitane-,","10.1.2 2.Are the antiseptic and disinfectants are stored and used according to the IPC guidelines?","oNnHcr4GU4K",
"Verify that antiseptics and disinfectants are stored in lockable cupboard, in the lowest shelves, away from light; antiseptics are prepared in  small quantities at a time, sufficient for each patient","10.1.2 2.Are the antiseptic and disinfectants are stored and used according to the IPC guidelines?","bUKvPGZafIb",
"b) Cetrimide and chlorhexidine gluconate-(2-4%), e.g., Savlon-, OR chlorhexidine-gluconate (2-4%), e.g., Hibiclens-,-Hibiscrub-, Hibitane-,","10.1.2 2.Are the antiseptic and disinfectants are stored and used according to the IPC guidelines?","oNnHcr4GU4K",
"Verify that antiseptics and disinfectants are stored in lockable cupboard, in the lowest shelves, away from light; antiseptics are prepared in small quantities at a time, sufficient for each patient","10.1.2 2. Are the antiseptic and disinfectants stored and used according to the IPC guidelines?","HFGH9jryMCd",
"Verify that antiseptics and disinfectants are-stored in lockable cupboard, in the lowest-shelves, away from light; antiseptics are-prepared in","10.1.3 1. Does the facility provides PEP or has effective referral mechanism?","VjaLhpuP0nZ",
"Verify that antiseptics and disinfectants are-stored in lockable cupboard, in the lowest-shelves, away from light; antiseptics are-prepared in","10.1.3 1. Does the facility provides PEP or has effective referral mechanism?","VjaLhpuP0nZ",
,"10.1.3 1. Does the facility provides PEP or has effective referral mechanism?","fKhxnstieX0",
,"10.1.3 1. Does the facility provides PEP or has effective referral mechanism?","kQI0IGPUoNb",
,"10.1.3 2. Are PEP Guidelines and SOPs available?","JSsZxyTZxjb",
,"10.1.3 2. Are PEP Guidelines and SOPs available?","BENDKsvIEVv",
,"10.1.3 2. Are PEP Guidelines and SOPs available?","XQMJruTvq2t",
,"10.1.3 2. Are PEP Guidelines and SOPs available?","JSsZxyTZxjb",
,"10.1.3   3. Is there a PEP register(counter book or standard register) and monthly summary forms?","TCVoAl4jTz7",
,"10.1.3 3. Is there a PEP register (counter book or standard register) and monthly summary forms?","vyOBxJr076Q",
,"10.1.3 3.Is there a PEP register(counter book or standard register) and monthly summary forms?","zSXUbBE54f0",
,"10.1.3 3.Is there a PEP register(counter book or standard register) and monthly summary forms?","zSXUbBE54f0",
"Verify by observation or by simulation if no procedure observed: considers the 9R-s right: patient, medicine, time, route, dose, injection device,  formulation, storage and  disposal of needle and syringe in a safety box immediately after procedure.  Yes","10.1.4 1. Do healthcare workers adhere to IPC practices while giving injections?","v6Bpb8Q6z1v",
"Verify by observation or by simulation if no procedure observed: considers the 9R-s right: patient, medicine, time, route, dose, injection device, formulation, storage and disposal of needle and syringe in a safety box immediately after procedure.  Yes","10.1.4 1. Do healthcare workers adhere to IPC practices while giving injections?","o8NuAnsLjjY",
"Verify by observation or by simulation if no-procedure observed: considers the 9R-s right:-patient, medicine, time, route, dose, injection-device,","10.1.4 1. Do healthcare workers adhere to IPC practices while giving injections?","zP8SLYvNXbx",
"Verify by observation or by simulation if no-procedure observed: considers the 9R-s right:-patient, medicine, time, route, dose, injection-device,","10.1.4 1. Do healthcare workers adhere to IPC practices while giving injections?","zP8SLYvNXbx",
"Note: bucket with tap or improvised elbow operated system is acceptable"," bar soap and powder soap solution are not acceptable","10.1.5 1. Do all service areas have running water with elbow operated tap and liquid soap?","P96pOSsreqR"
"Note: bucket with tap or improvised elbow operated system is acceptable","10.1.5 1. Do all service areas have running water with elbow operated tap and liquid soap?","hZZtCiiTtkm",
"Note: bucket with tap or improvised elbow-operated system is acceptable","10.1.5 1. Do all service areas have running water with elbow operated tap and liquid soap?","yYtTWhVJIOi",
"Note: bucket with tap or improvised elbow-operated system is acceptable","10.1.5 1. Do all service areas have running water with elbow operated tap and liquid soap?","yYtTWhVJIOi",
"Verify SOPs are displayed and observe practice, or by simulation if no procedure observed","10.1.5   2. Is hand washing and hygiene performed asper SOP?","TsTLPp0XMZ7",
"Verify SOPs are displayed and observe practice, or by simulation if no procedure observed","10.1.5 2. Is hand washing and hygiene performed as per SOP?","IAXkzWpfzOj",
"Verify SOPs are displayed and observe practice, or by simulation if no procedure observed","10.1.5 2. Is hand washing and hygiene performed as per SOP?","POFHGncXe5N",
"Verify SOPs are displayed and observe practice, or by simulation if no procedure observed","10.1.5 2. Is hand washing and hygiene performed as per SOP?","POFHGncXe5N",
"Check for -three buckets system-  Yes","10.1.6 1. Are there procedures and requirements for instrument cleaning and decontamination?","y5HpWNhnnM2",
"Check for -three buckets system-","10.1.6 1. Are there procedures and requirements for instrument cleaning and decontamination?","onoS7SpseKC",
"Check for -three buckets system-","10.1.6 1. Are there procedures and requirements for instrument cleaning and decontamination?","onoS7SpseKC",
"Check for -three buckets system-","10.1.6 1. Are there procedures and requirements for instrument cleaning and decontamination?","bUVWpjoqDzZ",
,"10.1.6 2. Is sterilization or high level disinfection according to IPC guidelines?","a5P9cS5bPCo",
"Check for availability and use of PPE in related areas","10.1.6 2. Is sterilization or high level disinfection according to IPC guidelines?","XptJfs2TOs0",
"Check for availability and use of PPE in related areas","10.1.6 2. Is sterilization or high level disinfection according to IPC guidelines?","XptJfs2TOs0",
,"10.1.6 2. Is sterilization or high level disinfection according to IPC guidelines?","KwPrKOzNCZG",
"Check for availability and use of PPE in related areas","10.1.7 1. Are  Gloves (clean and surgical) available and correctly used?","LJpCq2L0M9W",
"Check for availability and use","10.1.7 1. Are Gloves (clean and surgical) available and correctly used?","NKy2hIEEzib",
,"10.1.7 1. Are Gloves (clean and surgical) available and correctly used?","At4lR4Faow4",
"Check for availability and use","10.1.7 1. Are Gloves (clean and surgical) available and correctly used?","NKy2hIEEzib",
"Check for availability and use of PPE in related areas","10.1.7 2. Are Heavy duty gloves available and correctly used?","swT7CCVEa25",
"Check for availability and use","10.1.7 2. Are Heavy duty gloves available and correctly used?","gMTvocaaWbB",
"Check for availability and use","10.1.7 2. Are Heavy duty gloves available and correctly used?","gMTvocaaWbB",
,"10.1.7 2.Are Heavy duty gloves available and correctly used?","el8yox2y22J",
"Check for availability and use of PPE in related areas","10.1.7  3. Are Masks  available and correctly used?","NvpXb0ngNYK",
"Check for availability and use","10.1.7 3. Are Masks available and correctly used?","Tvmq53vgQ71",
"Check for availability and use","10.1.7 3. Are Masks available and correctly used?","Tvmq53vgQ71",
,"10.1.7 3. Are Masksavailable and correctly used?","qTrWshNqy38",
"Check for availability and use","10.1.7 4. Are Apron available and correctly used?","FXkUBavXY9g",
"Check for availability and use of PPE in related areas","10.1.7 4. Are Apron available and correctly used?","V1UBTjYF00a",
"Check for availability and use","10.1.7 4. Are Apron available and correctly used?","FXkUBavXY9g",
,"10.1.7 4.Are Apron available and correctly used?","LMqlySMKqTC",
"Check for availability and use of PPE in related areas","10.1.7 5. Are Goggles and face shield available and correctly used?","mmvbGNHh6ew",
